floor,garage,m2,price,rooms,target,zone,prob
Casa,0,93,590000,3,0,Sarrià,0.586
Casa,0,150,940000,4,0,Sant Gervasi,0.226
Casa,0,255,895000,4,0,Sarrià,0.182
Casa,1,1.341,2900000,5,0,Sarrià,0.334
7ª,0,218,1300000,5,0,Sant Gervasi,0.178
Casa,1,539,995000,3,0,Sarrià,0.534
Casa,1,800,2900000,6,0,Sarrià,0.274
Casa,1,200,550000,4,0,Sarrià,0.41
Casa,1,1.1,3600000,6,0,Sant Gervasi,0.144
4ª,0,80,550000,2,0,El Putxet,0.33
Casa,1,450,2800000,5,0,Sarrià,0.3
5ª,0,86,450000,3,0,Sarrià,0.59
2ª,1,206,1200000,5,0,Sant Gervasi,0.21
Casa,1,440,1300000,5,0,Sarrià,0.34
1ª,0,215,990000,5,0,Sant Gervasi,0.572
Casa,0,350,2200000,6,0,Sarrià,0.296
Casa,1,570,2250000,5,0,Sarrià,0.112
1ª,0,228,1400000,4,0,Sant Gervasi,0.224
Casa,1,491,3730000,6,0,Sant Gervasi,0.166
Casa,1,802,2800000,4,0,Sarrià,0.126
Casa,1,902,1490000,6,0,Sarrià,0.314
2ª,1,114,1783343,3,0,Sant Gervasi,0.1
1ª,0,296,2500000,5,0,Sarrià,0.334
Casa,1,600,2100000,5,0,Sarrià,0.084
2ª,0,425,1995000,11,0,Sant Gervasi,0.404
Bajo,0,265,2500000,6,0,Sarrià,0.382
Casa,1,500,2350000,5,0,Sarrià,0.118
Casa,0,661,3250000,6,0,Sarrià,0.362
3ª,1,232,1650000,5,0,Sant Gervasi,0.164
1ª,0,200,980000,4,0,Sant Gervasi,0.36
Casa,1,380,1850000,6,0,Sarrià,0.246
Casa,0,223,3200000,4,0,Antiga Esquerra de l'Eixample,0.068
1ª,0,267,3200000,4,0,Dreta de l'Eixample,0.128
Casa,0,267,3200000,4,0,Dreta de l'Eixample,0.028
2ª,0,246,3200000,4,0,Dreta de l'Eixample,0.124
6ª,0,300,3100000,3,0,Dreta de l'Eixample,0.246
